Time [s], Analyzer Name, Decoded Protocol Result,,,,,,,,,,
0.06476825,SPI,MOSI, 0x00,  MISO, 0x21,2,1,,10,1,,
0.06477625,SPI,MOSI, 0x00,  MISO, 0xF2,F,2,,,,,
0.064844,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.064852,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.064884,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.064892,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06492375,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06493175,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06496325,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06497125,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.06502425,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06503225,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.065274,SPI,MOSI, 0x00,  MISO, 0xA1,,,,,,,
0.065282,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,Start Status Group ADC Conversion with Digital Redundancy and Poll Status ADSTATD 1 0 MD[1] MD[0] 0 0 0 1 CHST[2] CHST[1] CHST[0,
0.06533775,SPI,MOSI, 0x00,  MISO, 0x21,,,,,,,
0.06534575,SPI,MOSI, 0x00,  MISO, 0xF2,,,,,,,
0.065379,SPI,MOSI, 0x00,  MISO, 0x4D,4,D,,100,1101,,ADSTATD
0.065387,SPI,MOSI, 0x00,  MISO, 0xA1,A,1,,,,,
0.065395,SPI,MOSI, 0x00,  MISO, 0xB7,B7,,,183,,,
0.065403,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065411,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065419,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065427,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065435,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065443,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065451,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065459,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065467,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065475,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065483,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065491,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065499,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065507,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065515,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065523,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065531,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065539,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065547,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065555,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065563,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065571,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065579,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065587,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065595,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065603,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065611,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065619,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065627,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065635,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065643,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065651,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065659,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065667,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065675,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065683,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065691,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065699,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065707,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065715,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065723,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065731,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065739,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065747,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065755,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065763,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065771,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065779,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065787,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065795,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065803,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065811,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065819,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065827,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065835,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065843,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065851,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065859,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065867,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065875,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
0.065883,SPI,MOSI, 0x00,  MISO, 0x00,,,,,,,
