0.751478125,SPI,MOSI, 0x49,  MISO, 0xFF,,0.753506125,SPI,MOSI, 0x4A,  MISO, 0xFF,,0.755477583,SPI,MOSI, 0x4B,  MISO, 0xFF,,,,,0.837961958,SPI,MOSI, 0x21,  MISO, 0xFF,,0.839959333,SPI,MOSI, 0x4E,  MISO, 0xFF
0.751486125,SPI,MOSI, 0x59,  MISO, 0xFF,,0.753514125,SPI,MOSI, 0x59,  MISO, 0xFF,,0.755485583,SPI,MOSI, 0x59,  MISO, 0xFF,,,,,0.837969958,SPI,MOSI, 0xF2,  MISO, 0xFF,,0.839967333,SPI,MOSI, 0x5A,  MISO, 0xFF
0.751495625,SPI,MOSI, 0xED,  MISO, 0xFF,,0.753523625,SPI,MOSI, 0xF9,  MISO, 0xFF,,0.755495083,SPI,MOSI, 0x10,  MISO, 0xFF,,,,,0.838002375,SPI,MOSI, 0x4D,  MISO, 0xFF,,0.839976833,SPI,MOSI, 0x5D,  MISO, 0xFF
0.751503625,SPI,MOSI, 0x00,  MISO, 0x59,,0.753531625,SPI,MOSI, 0x00,  MISO, 0x59,,0.755503083,SPI,MOSI, 0x00,  MISO, 0x59,,,,,0.838010375,SPI,MOSI, 0x5A,  MISO, 0xFF,,0.839984833,SPI,MOSI, 0x00,  MISO, 0x5A
0.751513125,SPI,MOSI, 0x00,  MISO, 0x22,,0.753541125,SPI,MOSI, 0x00,  MISO, 0x3F,,0.755512583,SPI,MOSI, 0x00,  MISO, 0xD8,,,,,0.838019875,SPI,MOSI, 0x49,  MISO, 0xFF,,0.839994333,SPI,MOSI, 0x00,  MISO, 0x74
0.751521125,SPI,MOSI, 0x00,  MISO, 0xA0,,0.753549125,SPI,MOSI, 0x00,  MISO, 0xA0,,0.755520583,SPI,MOSI, 0x00,  MISO, 0x9E,,,,,0.838027875,SPI,MOSI, 0x00,  MISO, 0x5A,,0.840002333,SPI,MOSI, 0x00,  MISO, 0x93
0.751530625,SPI,MOSI, 0x00,  MISO, 0x30,,0.753558625,SPI,MOSI, 0x00,  MISO, 0x3C,,0.755530083,SPI,MOSI, 0x00,  MISO, 0x00,,,,,0.838037375,SPI,MOSI, 0x00,  MISO, 0x73,,0.840011833,SPI,MOSI, 0x00,  MISO, 0x37
0.751538625,SPI,MOSI, 0x00,  MISO, 0xA0,,0.753566625,SPI,MOSI, 0x00,  MISO, 0xA0,,0.755538083,SPI,MOSI, 0x00,  MISO, 0x00,,,,,0.838045375,SPI,MOSI, 0x00,  MISO, 0x14,,0.840019833,SPI,MOSI, 0x00,  MISO, 0x05
0.751548125,SPI,MOSI, 0x00,  MISO, 0xAF,,0.753576125,SPI,MOSI, 0x00,  MISO, 0x33,,0.755547583,SPI,MOSI, 0x00,  MISO, 0x02,,,,,0.838054875,SPI,MOSI, 0x00,  MISO, 0x01,,0.840029333,SPI,MOSI, 0x00,  MISO, 0x72
0.751556125,SPI,MOSI, 0x00,  MISO, 0x9F,,0.753584125,SPI,MOSI, 0x00,  MISO, 0xA0,,0.755555583,SPI,MOSI, 0x00,  MISO, 0x00,,,,,0.838062875,SPI,MOSI, 0x00,  MISO, 0xF5,,0.840037333,SPI,MOSI, 0x00,  MISO, 0xF5
0.751565625,SPI,MOSI, 0x00,  MISO, 0x30,,0.753593625,SPI,MOSI, 0x00,  MISO, 0x21,,0.755565083,SPI,MOSI, 0x00,  MISO, 0x1B,,,,,0.838072375,SPI,MOSI, 0x00,  MISO, 0x75,,0.840046833,SPI,MOSI, 0x00,  MISO, 0x40
0.751573625,SPI,MOSI, 0x00,  MISO, 0x22,,0.753601625,SPI,MOSI, 0x00,  MISO, 0xE3,,0.755573083,SPI,MOSI, 0x00,  MISO, 0x13,,,,,0.838080375,SPI,MOSI, 0x00,  MISO, 0x14,,0.840054833,SPI,MOSI, 0x00,  MISO, 0xAC
0.751583125,SPI,MOSI, 0x00,  MISO, 0x59,,0.753611125,SPI,MOSI, 0x00,  MISO, 0x59,,0.755582583,SPI,MOSI, 0x00,  MISO, 0x59,,,,,0.838089875,SPI,MOSI, 0x00,  MISO, 0x52,,0.840064333,SPI,MOSI, 0x00,  MISO, 0x5A
0.751591125,SPI,MOSI, 0x00,  MISO, 0x19,,0.753619125,SPI,MOSI, 0x00,  MISO, 0xCD,,0.755590583,SPI,MOSI, 0x00,  MISO, 0x00,,,,,0.838097875,SPI,MOSI, 0x00,  MISO, 0x04,,0.840072333,SPI,MOSI, 0x00,  MISO, 0x4B
0.751600625,SPI,MOSI, 0x00,  MISO, 0xA0,,0.753628625,SPI,MOSI, 0x00,  MISO, 0x9F,,0.755600083,SPI,MOSI, 0x00,  MISO, 0x00,,,,,0.838107375,SPI,MOSI, 0x00,  MISO, 0x5A,,0.840081833,SPI,MOSI, 0x00,  MISO, 0x93
0.751608625,SPI,MOSI, 0x00,  MISO, 0x20,,0.753636625,SPI,MOSI, 0x00,  MISO, 0x29,,0.755608083,SPI,MOSI, 0x00,  MISO, 0x01,,,,,0.838115375,SPI,MOSI, 0x00,  MISO, 0x60,,0.840089833,SPI,MOSI, 0x00,  MISO, 0x3A
0.751618125,SPI,MOSI, 0x00,  MISO, 0xA0,,0.753646125,SPI,MOSI, 0x00,  MISO, 0xA0,,0.755617583,SPI,MOSI, 0x00,  MISO, 0x00,,,,,0.838124875,SPI,MOSI, 0x00,  MISO, 0x14,,0.840099333,SPI,MOSI, 0x00,  MISO, 0x05
0.751626125,SPI,MOSI, 0x00,  MISO, 0x20,,0.753654125,SPI,MOSI, 0x00,  MISO, 0x30,,0.755625583,SPI,MOSI, 0x00,  MISO, 0x02,,,,,0.838132875,SPI,MOSI, 0x00,  MISO, 0xCA,,0.840107333,SPI,MOSI, 0x00,  MISO, 0x49
0.751635625,SPI,MOSI, 0x00,  MISO, 0xA0,,0.753663625,SPI,MOSI, 0x00,  MISO, 0xA0,,0.755635083,SPI,MOSI, 0x00,  MISO, 0x00,,,,,0.838142375,SPI,MOSI, 0x00,  MISO, 0xF8,,0.840116833,SPI,MOSI, 0x00,  MISO, 0xF3
0.751643625,SPI,MOSI, 0x00,  MISO, 0x1A,,0.753671625,SPI,MOSI, 0x00,  MISO, 0x3B,,0.755643083,SPI,MOSI, 0x00,  MISO, 0x01,,,,,0.838150375,SPI,MOSI, 0x00,  MISO, 0x6A,,0.840124833,SPI,MOSI, 0x00,  MISO, 0x79
0.751653125,SPI,MOSI, 0x00,  MISO, 0x14,,0.753681125,SPI,MOSI, 0x00,  MISO, 0xD2,,0.755652583,SPI,MOSI, 0x00,  MISO, 0x20,,,,,0.838159875,SPI,MOSI, 0x00,  MISO, 0x14,,0.840134333,SPI,MOSI, 0x00,  MISO, 0x9B
,,,,,,,,,,,,,,,,,,,,,,,,0.838167875,SPI,MOSI, 0x00,  MISO, 0x47,,,,,,,
