Time [s], Analyzer Name, Decoded Protocol Result,,,
0.075206958,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.075225458,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075265125,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.075283625,SPI,MOSI, 0x0000,  MISO, 0x3FFF
0.075323542,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.075342083,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.075381667,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.075400208,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.075439792,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.075458333,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.075498708,SPI,MOSI, 0x4A00,  MISO, 0xFFFF
0.075517208,SPI,MOSI, 0xC900,  MISO, 0xFF00
0.075536125,SPI,MOSI, 0x0000,  MISO, 0x9B9F
0.075561292,SPI,MOSI, 0x0000,  MISO, 0x699F
0.075586333,SPI,MOSI, 0x0000,  MISO, 0xAA9F
0.075611375,SPI,MOSI, 0x0000,  MISO, 0x221F
0.075636417,SPI,MOSI, 0x0000,  MISO, 0x004D
0.075661,SPI,MOSI, 0x0000,  MISO, 0x9F91
0.075686042,SPI,MOSI, 0x0000,  MISO, 0x9F95
0.075711083,SPI,MOSI, 0x0000,  MISO, 0x9F2E
0.075736125,SPI,MOSI, 0x0000,  MISO, 0x8DFF
0.075761167,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075779958,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075798708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.0758175,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.07583625,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075855042,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075873792,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075892583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075911333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075930125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075948875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075967667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.075986417,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076005208,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076024,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.07604275,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076061542,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.07608025,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076099042,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076117792,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076136583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076155333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076174125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076192875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076211667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076230417,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076249208,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.076267958,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.151383458,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.151402,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.151441625,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.151460167,SPI,MOSI, 0x0000,  MISO, 0x3FFF
0.15149975,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.151518292,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.151557875,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.151576417,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.151616,SPI,MOSI, 0x2AD4,  MISO, 0xFFFF
0.151634542,SPI,MOSI, 0x0000,  MISO, 0x0FFF
0.151674917,SPI,MOSI, 0x4B00,  MISO, 0xFFFF
0.151693417,SPI,MOSI, 0x2000,  MISO, 0xFF00
0.151712333,SPI,MOSI, 0x0000,  MISO, 0xF89E
0.1517375,SPI,MOSI, 0x0000,  MISO, 0x0000
0.151761667,SPI,MOSI, 0x0000,  MISO, 0x0100
0.151786458,SPI,MOSI, 0x0000,  MISO, 0x0FD3
0.15181125,SPI,MOSI, 0x0000,  MISO, 0x0000
0.151835417,SPI,MOSI, 0x0000,  MISO, 0x0002
0.151859792,SPI,MOSI, 0x0000,  MISO, 0x0002
0.151884167,SPI,MOSI, 0x0000,  MISO, 0x0024
0.15190875,SPI,MOSI, 0x0000,  MISO, 0xA2FF
0.151933792,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.151952583,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.151971333,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.151990125,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.152008875,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.152027667,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.152046417,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.152065208,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.152083917,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.152102708,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.1521215,SPI,MOSI, 0x0000,  MISO, 0xFFFF
0.15214025,SPI,MOSI, 0x0000,  MISO, 0xFFFF
