Time [s], Analyzer Name, Decoded Protocol Result,,,
0.067661833,SPI,MOSI, 0x2A,  MISO, 0xFF
0.067669833,SPI,MOSI, 0xD4,  MISO, 0xFF
0.067679333,SPI,MOSI, 0x00,  MISO, 0xFF
0.067687333,SPI,MOSI, 0x00,  MISO, 0xFF
0.067718583,SPI,MOSI, 0x2A,  MISO, 0xFF
0.067726583,SPI,MOSI, 0xD4,  MISO, 0xFF
0.067736083,SPI,MOSI, 0x00,  MISO, 0x3F
0.067744083,SPI,MOSI, 0x00,  MISO, 0xFF
0.067773917,SPI,MOSI, 0x2A,  MISO, 0xFF
0.067781917,SPI,MOSI, 0xD4,  MISO, 0xFF
0.067791417,SPI,MOSI, 0x00,  MISO, 0x0F
0.067799417,SPI,MOSI, 0x00,  MISO, 0xFF
0.067830208,SPI,MOSI, 0x2A,  MISO, 0xFF
0.06783825,SPI,MOSI, 0xD4,  MISO, 0xFF
0.067847708,SPI,MOSI, 0x00,  MISO, 0x0F
0.06785575,SPI,MOSI, 0x00,  MISO, 0xFF
0.067893125,SPI,MOSI, 0x2A,  MISO, 0xFF
0.067901125,SPI,MOSI, 0xD4,  MISO, 0xFF
0.067910625,SPI,MOSI, 0x00,  MISO, 0x0F
0.067918625,SPI,MOSI, 0x00,  MISO, 0xFF
0.067948542,SPI,MOSI, 0x2A,  MISO, 0xFF
0.067956542,SPI,MOSI, 0xD4,  MISO, 0xFF
0.067966042,SPI,MOSI, 0x00,  MISO, 0x0F
0.067974042,SPI,MOSI, 0x00,  MISO, 0xFF
0.068221583,SPI,MOSI, 0x2A,  MISO, 0xFF
0.068229542,SPI,MOSI, 0xD4,  MISO, 0xFF
0.068239083,SPI,MOSI, 0x00,  MISO, 0x0F
0.068247042,SPI,MOSI, 0x00,  MISO, 0xFF
0.068310292,SPI,MOSI, 0x2A,  MISO, 0xFF
0.068318292,SPI,MOSI, 0xD4,  MISO, 0xFF
0.068327792,SPI,MOSI, 0x00,  MISO, 0x0F
0.068335792,SPI,MOSI, 0x00,  MISO, 0xFF
0.068365667,SPI,MOSI, 0x2A,  MISO, 0xFF
0.068373667,SPI,MOSI, 0xD4,  MISO, 0xFF
0.068383167,SPI,MOSI, 0x00,  MISO, 0x0F
0.068391167,SPI,MOSI, 0x00,  MISO, 0xFF
0.068422542,SPI,MOSI, 0x2A,  MISO, 0xFF
0.068430542,SPI,MOSI, 0xD4,  MISO, 0xFF
0.068440042,SPI,MOSI, 0x00,  MISO, 0xFF
0.068448042,SPI,MOSI, 0x00,  MISO, 0xFF
0.068477875,SPI,MOSI, 0x2A,  MISO, 0xFF
0.068485875,SPI,MOSI, 0xD4,  MISO, 0xFF
0.068495375,SPI,MOSI, 0x00,  MISO, 0xFF
0.068503375,SPI,MOSI, 0x00,  MISO, 0xFF
0.068532958,SPI,MOSI, 0x2A,  MISO, 0xFF
