Wake up,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2A, 0xD4,,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2A, 0xD4,,,,,Response , 0x3F, 0xFF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2A, 0xD4,,,,,Response , 0x0F, 0xFF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2A, 0xD4,,,,,Response , 0x0F, 0xFF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x21, 0xF2, 0x4D, 0x00, 0x08,,Response , 0x00, 0xE9, 0x14, 0xE1, 0xFA, 0xEF, 0x14, 0x4E, 0x59, 0x00, 0xAE, 0x15, 0xB7, 0xF8, 0xC2, 0x15, 0x7B, 0x44
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2A, 0xD4,,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4D, 0x00, 0x08,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4E, 0x00, 0x1C,,,,Response , 0x00, 0x80, 0x93, 0x35, 0x05, 0x82, 0xF5, 0x7E, 0x37, 0x00, 0x5F, 0x93, 0x46, 0x05, 0x53, 0xF3, 0x57, 0x24
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x4E, 0x00, 0x1C,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x50, 0x00, 0x94,,,,Response , 0x00, 0xF3, 0x00, 0x00, 0x00, 0x6D, 0x9F, 0x00, 0xF3, 0x00, 0x00, 0x00, 0x6D, 0x9F,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x50, 0x00, 0x94,,,,Response ,NONE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2B, 0xFB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Request, 0x2B, 0xFB,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
